Copy,AWD
1,0.1521302573831861
1,0.10639160368329223
1,0.08161720357785719
1,0.07560851579270791
1,0.11857385543728347
1,0.06008104866666378
1,0.02834612599544703
1,0.07357476541468845
2,0.11699049159588629
2,0.07565823693028133
2,0.07334485664718494
2,0.057324562317891334
2,0.08100571862262819
2,0.028653081295855767
2,0.10657361348209704
2,0.15176249797289101
3,0.0759744028071742
3,0.05849031711670104
3,0.11896131103849145
3,0.028247484134286814
3,0.07354021411096853
3,0.07969589244951937
3,0.10529254524665269
3,0.1522104172045352
4,0.060641929719516326
4,0.11885588786075368
4,0.027765998602652008
4,0.07542460227927474
4,0.10591769237757483
4,0.1523947430539078
4,0.0752492926890706
4,0.0829472474266349
5,0.05922733133195123
5,0.11548037840211589
5,0.07278413088547384
5,0.08070256388703145
5,0.10612966566954316
5,0.1519424443283441
5,0.07302495513644798
5,0.027830817477405564
