Copy,MSAS
1,0.5354734969064759
1,0.7308144375336697
1,0.7128899554336647
1,0.7308878985258827
1,0.697822289697504
2,0.7129307670960053
2,0.733752877222195
2,0.5370488270728243
2,0.730063502946602
2,0.6938635584504628
3,0.7322510080480598
3,0.69640204384805
3,0.7120573975219159
3,0.5344450430154921
3,0.731483748796056
4,0.7325448520169123
4,0.7347405194508383
4,0.5352286269324321
4,0.696916270793542
4,0.7138939223272441
5,0.7123430791583002
5,0.732267332712996
5,0.5364937884649917
5,0.7317531057675041
5,0.6957898689129406
